hold,feature_set,fold,model_kind,threshold_bps,train_candidates,calibration_candidates,test_candidates,selected_trades,selected_expectancy_bps,selected_win_rate,portfolio_return,max_drawdown,test_mae_bps,test_r2,gap_stop_count,symbol_counts
1_session,geometry,3,ridge,5.0,1373,344,365,109,79.67286627125809,0.5596330275229358,1.335443974172506,0.07099860736314409,125.44443664230545,-0.010890286865431476,3,"{""TSLA"": 40, ""AAPL"": 36, ""MSFT"": 33}"
1_session,geometry,4,ridge,5.0,1665,417,364,146,60.60774767023896,0.547945205479452,1.377838137687835,0.05493543702653955,111.3267073043537,0.09086582186699677,5,"{""TSLA"": 55, ""MSFT"": 47, ""AAPL"": 44}"
1_session,geometry,1,ridge,10.0,784,197,364,172,27.617067559562656,0.4186046511627907,0.5655899543823575,0.09796543910447962,137.32229855355777,-0.00466677012916028,6,"{""MSFT"": 61, ""TSLA"": 56, ""AAPL"": 55}"
1_session,geometry,2,ridge,10.0,1076,269,372,134,8.812345492576473,0.34328358208955223,0.09006486882048215,0.19618863940371137,171.67439533052183,-0.03972988542744904,1,"{""TSLA"": 50, ""AAPL"": 43, ""MSFT"": 41}"
1_session,geometry,3,ridge,10.0,1373,344,365,78,93.7951957601981,0.6282051282051282,1.0503291815138756,0.02598355143959741,125.44443664230545,-0.010890286865431476,4,"{""TSLA"": 28, ""AAPL"": 26, ""MSFT"": 24}"
1_session,geometry,4,ridge,10.0,1665,417,364,139,64.47692122732454,0.5683453237410072,1.4062754276179183,0.048167636959560584,111.3267073043537,0.09086582186699677,4,"{""TSLA"": 54, ""MSFT"": 45, ""AAPL"": 40}"
1_session,geometry,1,ridge,15.0,784,197,364,171,28.540820380763577,0.42105263157894735,0.586218219148618,0.08894518900989849,137.32229855355777,-0.00466677012916028,6,"{""MSFT"": 60, ""TSLA"": 56, ""AAPL"": 55}"
1_session,geometry,2,ridge,15.0,1076,269,372,125,9.024706427985615,0.336,0.08573589053761066,0.1902206119050767,171.67439533052183,-0.03972988542744904,1,"{""TSLA"": 49, ""AAPL"": 39, ""MSFT"": 37}"
1_session,geometry,3,ridge,15.0,1373,344,365,51,115.31962825056404,0.6666666666666666,0.7811372370229666,0.02434374116217529,125.44443664230545,-0.010890286865431476,3,"{""TSLA"": 18, ""AAPL"": 18, ""MSFT"": 15}"
1_session,geometry,4,ridge,15.0,1665,417,364,128,70.26180038253385,0.5859375,1.41517696163849,0.04530324040470671,111.3267073043537,0.09086582186699677,4,"{""TSLA"": 50, ""MSFT"": 42, ""AAPL"": 36}"
1_session,geometry,1,tree,5.0,784,197,364,158,17.52271534618894,0.41139240506329117,0.28827521746413276,0.09978470843549779,138.98691045847892,-0.05156925778271537,7,"{""MSFT"": 59, ""AAPL"": 52, ""TSLA"": 47}"
1_session,geometry,2,tree,5.0,1076,269,372,164,9.957114976047672,0.3353658536585366,0.13767009983534706,0.22108979258609335,166.8017891466932,-0.0029141326002883883,2,"{""MSFT"": 59, ""TSLA"": 53, ""AAPL"": 52}"
1_session,geometry,3,tree,5.0,1373,344,365,171,32.40547216776487,0.40350877192982454,0.6997426023165418,0.08460747771562104,128.78760270596865,-0.051069727315604885,8,"{""TSLA"": 58, ""AAPL"": 57, ""MSFT"": 56}"
1_session,geometry,4,tree,5.0,1665,417,364,133,59.246275095784384,0.5639097744360902,1.1637487476602524,0.05185033682090273,113.5000214088846,0.04623004184263646,2,"{""MSFT"": 45, ""TSLA"": 45, ""AAPL"": 43}"
1_session,geometry,1,tree,10.0,784,197,364,150,16.20404501461876,0.41333333333333333,0.24773109646611546,0.09351409940111488,138.98691045847892,-0.05156925778271537,6,"{""MSFT"": 57, ""AAPL"": 50, ""TSLA"": 43}"
1_session,geometry,2,tree,10.0,1076,269,372,153,8.32048243438465,0.33986928104575165,0.10172119273347602,0.2126231709265746,166.8017891466932,-0.0029141326002883883,2,"{""MSFT"": 58, ""TSLA"": 49, ""AAPL"": 46}"
1_session,geometry,3,tree,10.0,1373,344,365,3,37.476836034027265,0.3333333333333333,0.01123357829644811,0.0007998400000001071,128.78760270596865,-0.051069727315604885,0,"{""TSLA"": 3}"
